City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Maumere,-8.62,122.21,79.86,71,83,3.8,ID,06/21/20
Tautira,-17.73,-149.15,84.2,62,75,5.82,PF,06/21/20
Rikitea,-23.12,-134.97,70.79,68,86,18.01,PF,06/21/20
Sur,22.57,59.53,85.53,68,58,9.26,OM,06/21/20
Ancud,-41.87,-73.82,48.0,100,90,16.11,CL,06/21/20
Pevek,69.7,170.31,45.0,79,17,2.01,RU,06/21/20
Talnakh,69.49,88.4,59.0,47,2,15.66,RU,06/21/20
Clyde River,70.47,-68.59,42.8,87,1,4.7,CA,06/21/20
Okhansk,57.72,55.39,46.4,81,75,6.71,RU,06/21/20
Puerto Ayora,-0.74,-90.35,70.0,93,66,1.01,EC,06/21/20
Raudeberg,61.99,5.14,55.99,94,100,5.7,NO,06/21/20
Le Port,-20.94,55.29,69.8,77,90,12.75,RE,06/21/20
Longyearbyen,78.22,15.64,40.84,70,4,1.36,SJ,06/21/20
Flinders,-34.58,150.86,57.0,63,83,8.99,AU,06/21/20
Sitka,57.05,-135.33,53.6,71,90,12.75,US,06/21/20
Natá,8.33,-80.52,77.0,84,97,2.64,PA,06/21/20
Sittwe,20.15,92.9,81.19,86,75,12.21,MM,06/21/20
Ushuaia,-54.8,-68.3,35.6,80,39,6.93,AR,06/21/20
Ranong,9.97,98.63,78.8,94,20,2.24,TH,06/21/20
Arraial do Cabo,-22.97,-42.03,73.56,85,0,16.91,BR,06/21/20
Yining,29.04,114.56,81.54,86,99,0.51,CN,06/21/20
Saskylakh,71.92,114.08,59.9,56,71,10.27,RU,06/21/20
Gambēla,8.25,34.58,69.76,87,70,3.51,ET,06/21/20
Geraldton,-28.77,114.6,64.4,27,0,24.16,AU,06/21/20
Hobart,-42.88,147.33,53.6,93,75,12.75,AU,06/21/20
Busselton,-33.65,115.33,60.01,55,49,22.79,AU,06/21/20
Lac du Bonnet,50.25,-96.06,62.01,66,99,4.0,CA,06/21/20
Butaritari,3.07,172.79,83.52,79,47,14.99,KI,06/21/20
Jamestown,42.1,-79.24,78.01,73,90,5.82,US,06/21/20
Henties Bay,-22.12,14.28,57.0,77,8,1.01,NA,06/21/20
Tabou,4.42,-7.35,76.33,86,98,10.31,CI,06/21/20
Bud,39.45,-86.18,70.0,88,40,4.7,US,06/21/20
Tura,25.52,90.22,74.57,95,23,5.82,IN,06/21/20
Tubualá,9.52,-79.03,82.99,83,40,3.36,PA,06/21/20
Hofn,64.25,-15.21,50.11,92,100,14.27,IS,06/21/20
Bilibino,68.05,166.44,81.27,27,60,16.31,RU,06/21/20
Bethel,41.37,-73.41,82.0,57,1,11.41,US,06/21/20
Kapaa,22.08,-159.32,82.4,69,75,14.99,US,06/21/20
Cherskiy,68.75,161.3,80.96,27,28,12.64,RU,06/21/20
Atuona,-9.8,-139.03,80.24,67,0,10.04,PF,06/21/20
Esperance,-33.87,121.9,42.8,81,0,17.22,AU,06/21/20
Bluff,-46.6,168.33,39.0,83,0,3.0,NZ,06/21/20
Cururupu,-1.83,-44.87,75.06,90,46,2.8,BR,06/21/20
Bathsheba,13.22,-59.52,82.4,83,40,21.92,BB,06/21/20
